PAIR,BID,ASK,TIME
DOGE/USD,0.18476,0.18488,15-01-22 23:30:01
DOGE/USD,0.18473,0.18483,15-01-22 23:00:01
DOGE/USD,0.18569,0.1857,15-01-22 22:30:03
DOGE/USD,0.18635,0.18641,15-01-22 22:00:01
DOGE/USD,0.18673,0.18685,15-01-22 21:30:01
DOGE/USD,0.18675,0.18691,15-01-22 21:00:01
DOGE/USD,0.18766,0.18782,15-01-22 20:30:01
DOGE/USD,0.18725,0.18735,15-01-22 20:00:01
DOGE/USD,0.18732,0.18748,15-01-22 19:30:01
DOGE/USD,0.18689,0.18705,15-01-22 19:00:01
DOGE/USD,0.18781,0.18797,15-01-22 18:30:01
DOGE/USD,0.18837,0.18853,15-01-22 18:00:01
DOGE/USD,0.18913,0.18925,15-01-22 17:30:01
DOGE/USD,0.18856,0.18872,15-01-22 17:00:01
DOGE/USD,0.1883,0.18845,15-01-22 16:30:01
DOGE/USD,0.18997,0.19011,15-01-22 16:00:01
DOGE/USD,0.19014,0.1903,15-01-22 15:30:01
DOGE/USD,0.18891,0.18903,15-01-22 15:00:01
DOGE/USD,0.188,0.18813,15-01-22 14:30:01
DOGE/USD,0.18786,0.18807,15-01-22 14:00:01
DOGE/USD,0.18833,0.18846,15-01-22 13:30:01
DOGE/USD,0.18688,0.18705,15-01-22 13:00:01
DOGE/USD,0.18902,0.18913,15-01-22 12:30:01
DOGE/USD,0.19029,0.1904,15-01-22 12:00:01
DOGE/USD,0.1908,0.19088,15-01-22 11:30:01
DOGE/USD,0.1893,0.18943,15-01-22 11:00:01
DOGE/USD,0.19058,0.19074,15-01-22 10:30:01
DOGE/USD,0.19029,0.19047,15-01-22 10:00:01
DOGE/USD,0.1884,0.18859,15-01-22 09:30:01
DOGE/USD,0.18987,0.19006,15-01-22 09:00:01
DOGE/USD,0.19145,0.19158,15-01-22 08:30:01
DOGE/USD,0.19167,0.19181,15-01-22 08:00:01
DOGE/USD,0.19249,0.19272,15-01-22 07:30:01
DOGE/USD,0.18991,0.19007,15-01-22 07:00:01
DOGE/USD,0.19067,0.19087,15-01-22 06:30:01
DOGE/USD,0.1897,0.18986,15-01-22 06:00:01
DOGE/USD,0.18919,0.18931,15-01-22 05:30:01
DOGE/USD,0.19058,0.19069,15-01-22 05:00:01
DOGE/USD,0.19227,0.19243,15-01-22 04:30:01
DOGE/USD,0.19069,0.19088,15-01-22 04:00:01
DOGE/USD,0.18716,0.18731,15-01-22 03:30:01
DOGE/USD,0.18694,0.18705,15-01-22 03:00:01
DOGE/USD,0.18729,0.18754,15-01-22 02:30:01
DOGE/USD,0.18472,0.18483,15-01-22 02:00:01
DOGE/USD,0.18514,0.18528,15-01-22 01:30:01
DOGE/USD,0.18328,0.18347,15-01-22 01:00:01
DOGE/USD,0.18308,0.18317,15-01-22 00:30:01
DOGE/USD,0.18323,0.1835,15-01-22 00:00:01
DOGE/USD,0.18237,0.18257,14-01-22 23:30:01
DOGE/USD,0.18777,0.18787,14-01-22 23:00:01
DOGE/USD,0.18938,0.18947,14-01-22 22:30:01
DOGE/USD,0.18969,0.18991,14-01-22 22:00:01
DOGE/USD,0.18928,0.18947,14-01-22 21:30:01
DOGE/USD,0.18879,0.18894,14-01-22 21:00:01
DOGE/USD,0.18873,0.18885,14-01-22 20:30:01
DOGE/USD,0.18749,0.18762,14-01-22 20:00:00
DOGE/USD,0.18748,0.18766,14-01-22 19:30:01
DOGE/USD,0.18887,0.18912,14-01-22 19:00:01
DOGE/USD,0.18711,0.18725,14-01-22 18:30:01
DOGE/USD,0.1867,0.1869,14-01-22 18:00:01
DOGE/USD,0.18786,0.18802,14-01-22 17:30:01
DOGE/USD,0.19208,0.19219,14-01-22 17:00:01
DOGE/USD,0.19178,0.19191,14-01-22 16:30:01
DOGE/USD,0.19402,0.19423,14-01-22 16:00:01
DOGE/USD,0.1948,0.19499,14-01-22 15:30:01
DOGE/USD,0.19434,0.19449,14-01-22 15:00:01
DOGE/USD,0.19135,0.1915,14-01-22 14:30:01
DOGE/USD,0.19051,0.19068,14-01-22 14:00:01
DOGE/USD,0.19212,0.19226,14-01-22 13:30:01
DOGE/USD,0.18891,0.189,14-01-22 13:00:01
DOGE/USD,0.18872,0.18887,14-01-22 12:30:01
DOGE/USD,0.1884,0.18863,14-01-22 12:00:01
DOGE/USD,0.18834,0.18852,14-01-22 11:30:01
DOGE/USD,0.19232,0.19242,14-01-22 11:00:01
DOGE/USD,0.19707,0.19726,14-01-22 10:30:01
DOGE/USD,0.19599,0.19615,14-01-22 10:00:01
DOGE/USD,0.19512,0.19544,14-01-22 09:30:01
DOGE/USD,0.19297,0.1933,14-01-22 09:00:01
DOGE/USD,0.19363,0.19382,14-01-22 08:30:01
DOGE/USD,0.19604,0.19629,14-01-22 08:00:01
DOGE/USD,0.1997,0.19998,14-01-22 07:30:01
DOGE/USD,0.19948,0.19972,14-01-22 07:00:01
DOGE/USD,0.19968,0.20002,14-01-22 06:30:01
DOGE/USD,0.19001,0.19013,14-01-22 06:00:01
DOGE/USD,0.1946,0.19499,14-01-22 05:30:01
DOGE/USD,0.18974,0.18998,14-01-22 05:00:01
DOGE/USD,0.17849,0.17872,14-01-22 04:30:01
DOGE/USD,0.17581,0.17591,14-01-22 04:00:01
DOGE/USD,0.17604,0.17619,14-01-22 03:30:01
DOGE/USD,0.1774,0.17752,14-01-22 03:00:01
DOGE/USD,0.1759,0.17601,14-01-22 02:30:01
DOGE/USD,0.17636,0.17663,14-01-22 02:00:01
DOGE/USD,0.17772,0.17784,14-01-22 01:30:01
DOGE/USD,0.17802,0.17822,14-01-22 01:00:01
DOGE/USD,0.17977,0.18035,14-01-22 00:30:01
DOGE/USD,0.17162,0.17191,14-01-22 00:00:01
DOGE/USD,0.17563,0.17581,13-01-22 23:30:01
DOGE/USD,0.16708,0.16711,13-01-22 23:00:01
DOGE/USD,0.16792,0.168,13-01-22 22:30:01
DOGE/USD,0.17048,0.17087,13-01-22 22:00:01
DOGE/USD,0.16656,0.16669,13-01-22 21:30:01
DOGE/USD,0.16589,0.16616,13-01-22 21:00:02
DOGE/USD,0.16732,0.16745,13-01-22 20:30:01
DOGE/USD,0.16299,0.16308,13-01-22 20:00:01
DOGE/USD,0.16306,0.16318,13-01-22 19:30:01
DOGE/USD,0.16267,0.16275,13-01-22 19:00:01
DOGE/USD,0.16322,0.16338,13-01-22 18:30:01
DOGE/USD,0.16291,0.16299,13-01-22 18:00:01
DOGE/USD,0.16333,0.16348,13-01-22 17:30:01
DOGE/USD,0.16575,0.16588,13-01-22 17:00:01
DOGE/USD,0.16613,0.16625,13-01-22 16:30:01
DOGE/USD,0.16543,0.16559,13-01-22 16:00:01
DOGE/USD,0.16587,0.16605,13-01-22 15:30:01
DOGE/USD,0.17145,0.17158,13-01-22 15:00:01
DOGE/USD,0.17221,0.1724,13-01-22 14:30:01
DOGE/USD,0.17074,0.17113,13-01-22 14:00:01
DOGE/USD,0.16836,0.16856,13-01-22 13:30:01
DOGE/USD,0.17134,0.17149,13-01-22 13:00:01
DOGE/USD,0.17155,0.17166,13-01-22 12:30:01
DOGE/USD,0.17094,0.17107,13-01-22 12:00:01
DOGE/USD,0.17147,0.17167,13-01-22 11:30:01
DOGE/USD,0.17331,0.17345,13-01-22 11:00:01
DOGE/USD,0.17351,0.17372,13-01-22 10:30:01
DOGE/USD,0.17379,0.17393,13-01-22 10:00:01
DOGE/USD,0.17365,0.17383,13-01-22 09:30:01
DOGE/USD,0.17457,0.17476,13-01-22 09:00:01
DOGE/USD,0.17112,0.17119,13-01-22 08:30:01
DOGE/USD,0.16958,0.16965,13-01-22 08:00:01
DOGE/USD,0.16983,0.16992,13-01-22 07:30:01
DOGE/USD,0.17124,0.17141,13-01-22 07:00:01
DOGE/USD,0.17176,0.17188,13-01-22 06:30:01
DOGE/USD,0.1744,0.17477,13-01-22 06:00:01
DOGE/USD,0.17274,0.17296,13-01-22 05:30:01
DOGE/USD,0.16946,0.16966,13-01-22 05:00:01
DOGE/USD,0.16823,0.16843,13-01-22 04:30:01
DOGE/USD,0.16646,0.16667,13-01-22 04:00:01
DOGE/USD,0.16482,0.16497,13-01-22 03:30:01
DOGE/USD,0.16667,0.16711,13-01-22 03:00:01
DOGE/USD,0.16371,0.16381,13-01-22 02:30:01
DOGE/USD,0.16296,0.16306,13-01-22 02:00:01
DOGE/USD,0.16525,0.16545,13-01-22 01:30:01
DOGE/USD,0.1625,0.16258,13-01-22 01:00:01
DOGE/USD,0.1618,0.16196,13-01-22 00:30:01
DOGE/USD,0.16275,0.16297,13-01-22 00:00:01
